party,speaker,text
democrat,BEAU BIDEN,"My dad is Joe Biden. A few years ago he wrote a memoir. For his title, he quoted the line from Robert Frost's famous poem. He called it ""Promises to Keep."" In the last four years, you've seen my father partner with President Obama to keep the promises they made and the sacred promises we made: the promises we made to our elderly, who have had — who have a — earned a dignified retirement; the promises we make to our children, who deserve a chance to succeed; the promises we make that if you play by the rules and work hard, things will work out.
One of those promises is to a group of people close to my heart, my brothers and sisters in uniform. 
Four years ago — four years ago I told you that my father has always been there for me, for my sister, and as vice president, he would be there for you. And he has. I've seen it. 
I've watched him strengthen relationships with our allies and stare down our adversaries. I've seen him make quiet visits to veterans' hospitals and private phone calls to the families of first responders killed in the line of duty. I've seen him salute the workers in factories that are only open because of the decisions that he and the president had the courage to make. I've seen him shake the hand of every single high school student in a graduating class of 900 because he wants those kids to remember the day they got their diplomas and to do something big with them. 
For me — for me, the most memorable moment of the past four years was not something most Americans saw. In fact, it wasn't even on American soil. It took place in Iraq, at Camp Victory, where I was stationed.
It was the 4th of July in 2009. My father was there on one of his many trips to the region, as part of his work, I might add, to bring that war to an end. 
I had the privilege — I had the privilege to watch him lead a naturalization ceremony in one of Saddam Hussein's palaces for a couple hundred men and women from all the branches of our military. As he led those new Americans through the oaths of citizenship, this celebration of democracy in a land of a deposed dictator, I was struck by the strength and diversity of our country. I was reminded why we as a nation are stronger when everybody has a chance to do their part. And I was reminded of everything President Obama and my father have done to guarantee that chance.
We do have promises to keep. And my dad and Barack Obama are keeping them. And yes — and yes, we have miles to go before we sleep. But Barack Obama and Joe Biden are leading the way forward.
Four years ago, because I was going to Iraq, I asked you to be there for my dad, and you were. And for the last four years, I can say with certainty he has been there for us. In moments — in moments — in moments both public and private, he's the father I've always known, the grandfather my children love and adore and the vice president our nation needs.
So tonight, Mr. Chairman, it's my great honor to place into nomination for the office of vice president of the United States my father, my hero, Joe Biden. 
I move to suspend the rules and nominate by acclamation Joe Biden as the Democratic vice presidential candidate. "
democrat,KENYETTA JONES,"Good evening. I'm Kenyetta Jones from Toledo, Ohio. 
After I was laid off from General Motors' transmission assembly plant in 2009, I didn't sit around feeling sorry for myself. Instead I started training people with basic skills so when the jobs came back, they would be ready. Thanks to President Obama, these jobs did come back. 
There are heroes all across America. Joining me on stage are some of those heroes who the president met on his road to Charlotte, people who display the quiet heroism we see so often in this country.
Ed Meagher is a Vietnam war veteran who for nine years has been placing a welcoming arm around the soldiers returning from Iraq and Afghanistan. He has helped them to readjust to civilian life, prepare for jobs and simply come home again.
Lucas Beenken is an Iraq war veteran so committed to his Iowa community that when he ran from 
Rob Hach and his wife Tara are entrepreneurs who worked hard building their clean energy businesses in Alta, Iowa.

Martha Figueroa is a third-grade teacher at Saint 
Ryan Case overcame personal tragedy and committed himself to his future by going back to school, thanks to President Obama's support of Pell Grants. 
Today he is committed to expanding the opportunity for other young people by encouraging them to re-elect President Obama. 
These are the people who make our communities stronger and make us all proud. Please join me in acknowledging these American heroes. "
democrat,JIM MESSINA,"I'm so proud to represent the millions of volunteers who make up the vast grassroots organization in the history of American politics. Let's hear it for our neighborhood team leaders! We're going to talk to one right now.
Hey, New Mexico, can you hear me? 
All right! Are you fired up? 
All right. Every morning, the first thing I read are the numbers from the day before. Not poll numbers or money; the numbers that mean something: door knocks, conversations, registered voters. Our volunteers have made 44 million calls and knocked on 3.8 million doors.
We're doing exactly what the Republicans don't want us to do: getting more people involved in our democracy; giving more Americans a voice in their future. Here's how the greatest grassroots organization in the history of American campaigns is going to do just that:
First, register to vote right now. Go to GottaRegister.com. That's G-O-T-T-A, register.com. Second, if you're already registered, go to commit.barackobama.com.
We need each and every one of you to commit to vote for Barack Obama today. Third, take out your phone. For the first time in political history, you can donate by texting. Just text ""give"" to 62262 to donate $10 right now. That's 62262.
You know, voting in Iowa starts in just three weeks from today. 
This election isn't about Barack Obama or Mitt Romney. It's about you. The other guys write $10 million checks and make $10,000 bets. But we've made this campaign bet on you. I'd make that bet every day and twice on Tuesday, especially when that Tuesday is Election Day. Thank you. "
democrat,ZACH WAHLS,"Thank you, Charlotte. 
Now, people always want to know what it's like having lesbian parents, so let you in on a little secret: I'm awesome at putting the seat down. Otherwise, we're like any other family. We eat dinner, we go to church, we have chores.
But some people don't see it that way. When I was 12, watching the 2004 Republican Convention, I remember politicians talking about protecting marriage from families like mine. Now, supporting a view of marriage as between a man and woman isn't radical. For many people, it's a matter of faith. We respect that.
Watching that convention on TV, though, I felt confused, frustrated. Why didn't they think my family was a real family? Governor Romney says he's against same-sex marriage because every child deserves a mother and a father. I think every child deserves a family as loving and committed as mine — — because the sense of family comes from the commitment we make to each other to work through the hard times so we can enjoy the good ones.
It comes from the love that binds us. That's what makes a family. 
Mr. Romney, my family is just as real as yours. Without his leadership, we wouldn't be here.
President Obama is fighting for our families, all our families. 
Thank you, Charlotte, and thank you, President Obama. "
democrat,MICHAEL NUTTER,"I'm honored to serve as mayor of my hometown, Philadelphia, Pennsylvania. 
I'm most honored to be the father of Christian and Olivia and a proud parent of a current high school student. My wife, Lisa, and I know that Olivia's education is central to everything that she and everyone in our city wants to achieve. In Philadelphia our public education, poverty reduction, health and economic development all start with education. We can't grow the middle class if we don't give our kids the tools they need to innovate and invent.
But first we have to invest in them. That's what President Barack Obama did, saving 400,000 educators' jobs and giving states the flexibility to shape their schools. Mitt Romney doesn't get it. He recently visited a school in West Philly and told teachers that he knows more than they do about what works for their students. He said class size doesn't matter. 
Doesn't matter? If our teachers can't give our children the attention they need, that doesn't matter? If our students spend the day on their feet or the floor because there aren't enough desks in a crowded classroom, that doesn't matter? Well, let me tell you who it does matter to. It matters to Olivia. It matters to her classmates. It matters to all of our public school students in Philadelphia. And that's what matters. 
To Mitt Romney, education is a luxury. As governor, he vetoed universal pre-K. In his first year, K-12 schools saw dramatic cuts that led to teacher layoffs. He failed his students.
What has he learned from all this? All the wrong lessons. He failed the education test and now wants a promotion. His budget would mean fewer teachers and bigger class sizes. It would mean fewer Pell Grants, costing our country millions of college graduates. And he wants to put big banks back in the student loan business. And just ask him about affording college, like one high schooler did in Ohio. Romney's answer? Shop around.
Well, here are some wiser words from a great Philadelphian, Ben Franklin. He said: An investment in knowledge pays the best interest.
Sounds like Mitt Romney could stand to learn a thing or two about investing. Our economy grows from the middle out, not the top down. We're all in this together.
I learned that lesson growing up in West Philly. When I shoveled the sidewalk, my parents didn't let me stop with our house. They told me to keep shoveling all the way to the corner. I had a responsibility to my community, and that's what being mayor is all about. We take care of our own. We keep our neighbors safe, clear the snow from their streets, educate their kids. We get stuff done.
And for Barack Obama, that's what being president is all about. He knows coming together as a nation starts by coming together as neighbors. That's why, after graduating, Barack Obama went to a Chicago neighborhood to help jobless workers in the shadow of a closed down steel mill.
After Mitt Romney graduated, he became a corporate buyout specialist who closed down steel mills.
Whose values do you want in the Oval Office? Well, I know who I want, and I know who Philly wants, and I know who Pennsylvania wants, and I know who you want, and I know who the middle class needs: President Barack Obama! "
democrat,TAMMY BALDWIN,"On behalf of the great state of Wisconsin and our proud progressive tradition, thank you. I know you've heard a lot about Wisconsin lately. You've heard about Paul Ryan, who wants to end Medicare as we know it. You've heard about Scott Walker — — who took basic rights away from teachers, nurses and public employees. Maybe you've even heard about Tommy Thompson, our former governor who went to Washington, cashed in on his special interest connections and never really came back.
Well, I'm here to tell you that they don't speak for all of Wisconsin. And I want you to hear about the Wisconsin I know, the place where my grandparents raised me, the place where generations of families have worked hard to get ahead, the place where our state motto might sound familiar to you.
It's just one word: ""Forward."" 
We believe that if we're going to prosper, everyone has to have a fair shot, and everyone has to do their fair share. That's why I'm proud to lead the charge for the Buffett rule, which makes sure that millionaires and billionaires don't get to pay a lower tax rate than hardworking middle-class families. And President Obama is standing with me. But Mitt Romney wants to pass even more tax cuts for those at the very top. The Wisconsin I know knows that their plan will only bust our budget, not boost our economy. We believe in a level playing field.
More than a decade ago the big Wall Street banks came to Congress and asked us to repeal an important law called Glass-Steagall, allowing them to gamble like hedge funds. Too many in Washington said yes. Russ Feingold and I said no. And after — President Obama fought for that reform. Mitt Romney wants to repeal it. But the Wisconsin I know knows that having two sets of rules makes no kind of sense.
In Wisconsin, we believe in hard work. Give our workers a fair shot, and we'll compete against anyone. And that's why I'm taking on China's cheating and betting on Wisconsin workers.
President Obama believes in our manufacturers. That's why he's standing with me to support companies creating jobs here, and not shipping them overseas.
Mitt Romney wants to give up on our manufacturing sector. But the Wisconsin I know knows that an economy built to last says ""Made in America"" on the label. 
And we believe that American history moves in one direction — forward. — so that no American ever again has to lie about who they are in order to serve the country we love.
Republicans want to write discrimination into our Constitution. But the Wisconsin I know believes that with each passing year and each generation, our country must become more equal, not less. 
Mitt Romney, Paul Ryan, Scott Walker, Tommy Thompson — they think they're the only ones who speak for Wisconsin. "
democrat,ANTONIO VILLARAIGOSA,"Good evening. To the California delegation, I see you — — and I love you.
To my children, who've been here all week, my family, I love you most of all.
To the folks from North Carolina and Charlotte — 
You know, I'm proud to be the mayor of the great city of Los Angeles, the city of America's hope and promise and the entertainment capital of the world. But I have to say, when it comes to entertainment, to great stories and tall tales, the Republican Convention gave Hollywood a run for their money. 
You know, it's been the privilege of a lifetime to hold the gavel at this historic convention, where tonight Barack Obama will accept our party's nomination for a second term as president of the United States. 
Look around you, everyone. This has been the most diverse, most inclusive convention ever held anywhere in the United States of America — 
And this is a reflection of who we are as a party and who we can be as a nation. Because as Democrats, as Americans, whenever we've opened up our party and our country, whenever we've opened up our doors for more of our people, whenever we've deepened our democracy and renewed our commitment to equal justice under the law, we've grown stronger as a nation. 
Last week in Tampa, we were promised hard truths. And they were right about one thing. The truth was hard to find. That's why they didn't talk about their plan to cut taxes for millionaires by raising taxes on middle-class families with kids — on your family — by $2,000.
They didn't talk about their plan to replace the guarantee of Medicare with a coupon, with a voucher that might not cover the cost of care and could force seniors to pay up to $6,400 more a year.
They didn't talk about their plan to deny a woman control over the basic decisions that affect her health.
No. The Romney campaign bragged that it wouldn't be dictated by fact-checkers. What they meant is, their campaign wouldn't be dictated by facts. 
They said they have a plan, but they didn't share it because they know it's not a plan that the American people want. Americans don't want to go backwards; they want to go forward.

We know that some of our Republican friends may not have agreed with everything they've heard here in Charlotte. But at least they heard the facts. They heard solutions. They heard an honest description of the choice we face. And tonight they'll hear from a president who's fighting for all of us. 
In his first term, he fought for the student who's trying to pay for college. He fought for the small-business owner striving for a piece of the American dream. He fought for the men and women in uniform who are fighting for us. 
And he fought for the ""DREAMers"" — — young people brought here as children through no fault of their own. And instead of supporting their dream, Governor Romney wants to make life so miserable, so oppressive, so intolerable for them that they would leave the life they built behind, leave their children behind and self-deport.
How about that for family values? 
But you know, we believe we're a better country than that. And thanks to President Obama, as we keep on fighting for the DREAM Act, they can remain in the country they love. 
You know, in LA we know that communities are stronger for their diversity, from Westwood to Wilmington, from Silver Lake to Sherman Oaks. We may come from different backgrounds. We may speak different languages. We may even worship in different ways. But all of us, no matter our accent or our ancestry, are pursuing the same American dream.
It's the dream that brought my grandfather here from Leon, Guanajuato, Mexico, to Los Angeles a century ago with no money, even less English, but an unshakable faith in the relationship between work and reward. It's the dream that allowed his grandson, the son of a single mom, a child of Boyle Heights, to graduate from UCLA.
And you know, some people — I got there on an affirmative action program, and some people would say I came in through the backdoor. But one thing's for sure: I got out the front. 
You know, I know how I got here. I worked hard. And I grew up in an America where hard work paid off.
That's the promise of this great country. And this week we came to Charlotte to restore that promise.
And while this convention ends tonight, our work is not done. In the days and weeks ahead, we're going to register more voters, knock on more doors, get out more votes for this party and this president. 
God bless you. Thank you, and God bless America. "
democrat,DEBBIE WASSERMAN SCHULTZ,"Thank you. Thank you so much. I'm — thank you. I was so honored when President Obama asked me to serve as chair of the Democratic Party. Thank you. Thank you.
But there's one job I'm even more proud of, and that's being a mom to my three kids, Rebecca, Jake and Shelby. 
When I addressed our convention that year, I spoke about what the stakes were for our country. What I didn't tell you was how high the stakes were for my family. In 2007 I was diagnosed with breast cancer. In 2008, right before the convention, I had one of seven surgeries I'd have that year.
I was fortunate, though. I had good insurance and great doctors. And today I stand before you as a survivor. 
But like every breast cancer survivor, I now have a pre-existing condition. I know what it's like to sit in that waiting room wondering how many more anniversaries you'll get with your husband, how many more birthdays you'll celebrate with your kids. I don't care how strong a woman you are; that moment is terrifying. And in America, no one should have to go through it without health insurance. No family should go broke just because a mom gets sick.
So when President Obama passed health care reform, it was personal. And when Governor Romney says he would repeal ""Obamacare"" and put insurance companies back in charge of a woman's health, that's personal too. 
This election is personal for every American — — for the senior citizens that I meet across South Florida from Century Village to Sunrise Lakes to Aventura.
Now, one woman told me, Debbie, thanks to the new law, I don't have to cut my pills in half each month. That's because President Obama is closing the prescription drug doughnut hole. 
And what Governor Romney and Congressman Ryan won't admit is that their plan would require current seniors to pay on average $600 more each year for prescription drugs. Unacceptable. And the Romney-Ryan plan would replace the guarantee of Medicare with a voucher that wouldn't even keep up with costs.
Now, Congressman Ryan said that he wants Medicare to be around for his grandkids. Well, if that's the case, he had better vote for Barack Obama. 
I am — I am a proud Democrat. 
These are President Obama's priorities. They are our priorities. This fall we will fight for them harder than ever. 
But my friends, I can't keep that promise on my own. I need you to help me keep it. So when you feel too drained to register one more voter, when you feel too tired to make one more phone call or too exhausted to knock on one more door, I want you to dig just a little bit deeper. I want you to work just a little bit harder and make sure you don't get weary. Remember this is personal.
Let's finish what we started and re-elect President Barack Obama! On to victory on November 6th! 
Thank you so much. "
democrat,JASON CROW,"Thank you. I'm not a delegate, and I'm not a politician. I'm a veteran. I was an Army Ranger captain — I now live with my wife and son in the great state of Colorado. But many of the men and women with whom I served never returned home. And others came home bearing visible and invisible scars of battle. When they and their families needed help, our commander in chief was there for them.
From expanding veterans' benefits to strengthening the VA health system, President Obama knows that the miltiary is the standard bearer for American values. And it was wrong that men and women that I served with could be told that they weren't good enough just because of their sexual orientation. Soldiers that I trusted with my life and fought alongside with could be discharged simply because of who they loved. President Obama did the right thing by ending ""don't ask, don't tell.""

The choice is clear.
In the biggest speech of his life, Governor Romney didn't mention our troops in Afghanistan even once. All our service members and veterans deserve four more years of a president who has their back. And that is why, right now, I am asking you to join me in supporting our president, our commander in chief, Barack Obama.
Thank you. "
democrat,ALEJANDRA SALINAS,"Buenas noches, democratas. — and on my way to law school at Boston College.

Four years ago, on campuses all across this country, young people rose up to change the course of American history. In record numbers, we came together and finally elected a president who understands our struggles, shares our dreams and believes in our future. Some people say young people aren't excited about this election — 
Because of the president's Affordable Care Act, 3.1 million young Americans who were previously uninsured can stay on their parents' health insurance. Mitt Romney and Paul Ryan want to repeal health reform and take that coverage away. President Obama doubled funding for Pell Grants. Mitt Romney and Paul Ryan would cut scholarships that are so critical to creating opportunities for those that need them most.
This president, on so many issues — immigration, LGBT rights — — it seems to me that Mitt Romney only cares about an elite few.
Mitt Romney recently called my generation a lost generation. He's wrong. We know exactly where we're going: forward, not backward. 
We're going to register voters, knock on doors, turn out the vote, and on November 6th, re-elect our true champion, President Barack Obama. "
democrat,JOHN LEWIS,"Hello, Georgia. Hello, America.
I first came to this city in 1961, the year Barack Obama was born. I was one of the 13 original Freedom Riders. We were on a bus ride from Washington to New Orleans trying to test a recent Supreme Court ruling that banned racial discrimination on buses across the state line.
We tested the waiting rooms, restroom facilities, but here in Charlotte, North Carolina, a young African-American tried to get a shoe shine at the Greyhound bus station. He was arrested and taken to jail.
On that same day we traveled to Rock Hill, South Carolina, about 25 miles from here. When my seatmate Albert Bigelow and I tried to enter a white waiting room, we were met by an angry mob that beat us and left us lying in a pool of blood. Some police officers came up and asked us whether we wanted to press charges. We said no, we come in peace, love and nonviolence. We said our struggle was not against individuals, but against unjust laws and customs. Our goal was a true freedom for every American.
Since then, America has made a lot of progress. We are a different society than we were in 1961. And in 2008 we showed the world the true promise of America when we elected President Barack Obama. 
A few years ago a man from Rock Hill inspired by President Obama's election decided to come forward. He came to my office in Washington and said, I am one of the people who beat you. I want to apologize. Will you forgive me?
I said, I accept your apology. He started crying. 
Brothers and sisters, do you want to go back?Or do you want to keep America moving forward? My dear friends, your vote is precious, almost sacred. It is the most powerful nonviolent tool we have to create a more perfect union.
Not too long ago people stood in lines. They had to pass a so-called literacy test, pay a poll tax. On one occasion, a man was asked to count the number of bubbles in a bar of soap. On another occasion, one was asked to count the jelly beans in a jar, all to keep them from casting their ballot.
Today it is unbelievable that there are Republican officials are trying to stop some people from voting. They are changing — they are changing the rules, cutting polling hours and imposing requirement intended to suppress the vote.
The Republican leader in the Pennsylvania House even bragged that his state's new voter ID law is going to allow Governor Romney to win the state. That's not right, that's not fair and that is not just. And similar efforts have been made in Texas, Ohio, Florida, Wisconsin, Arizona, Georgia and South Carolina.
I've seen this before. I lived this before. Too many people struggled, suffered and died to make that possible for every American to exercise their right to vote. 
And we have come too far together to ever turn back. So, Democrats, we must not be silent. We must stand up, speak up and speak out. "
democrat,BARNEY FRANK,"How are you? Hello.
Nice of them to leave a gavel out for me to make me feel nostalgic. 
I have the problem we all have when we speak here. There are a lot of issues to talk about. So the question is, which ones do you pick? There are a number that interest me, like why it is that so many Republicans are afraid that my marriage will threaten theirs. 
Or why Mitt Romney thinks it's a bad thing that the president ended the war in Iraq.
But let's stick to the central themes of the economy.
We need to do more to get the economy back. Now, we inherited from the Republicans the worst economy in 80 years. And we are — been improving it over their objection and over their obstruction. But we'd like to move quicker.
Well, one argument we get is that the Republican nominee, Mr. Romney, because of his private business experience, is a superior job creator and that if we elect him president, he will use those great private-sector skills as the chief executive to bring many more jobs. We've had an experiment in that. He was governor of the state I lived in, in Massachusetts. So if, in fact, Mitt Romney's private-sector experience makes him the superhero of job creation, we would have seen that in Massachusetts.
In fact, the record is that during his term, our job growth was only about 1.4 percent, which was a quarter of the national average. We were, under Mitt Romney, 47th in job growth. In fact, I represented an area of Massachusetts, proudly, places — New Bedford and Fall River — that have been hurt by national, international economic trends. And we wanted help to get commuter rail to the source of the jobs in the northern part of our state. We wanted to get a wind energy node projected. We wanted all these things. Under Mitt Romney we got no help. Under Mitt Romney we got no jobs.
Now, I was puzzled. And I hear about this, and I wonder: How come, as I now hear about the great ability of this wizard of private- sector financial engineering to create jobs, that we didn't get any? And I realized, here is the problem. And this is a hard one for me because of my diction, so please listen carefully. It turns out our governor was Mitt Romney. What we should have had as governor was ""Myth"" Romney.

Now, maybe as a Democrat I should be grateful that we got Mitt and not ""Myth"" because if ""Myth"" Romney had ever been governor and done all the things we're told we could do, he would have been re- elected overwhelmingly. Now, that might not have been good for the Democrats, but not following the Mitch McConnell view that your party's advantage is less important — is more important that the economic well-being of your constituents, I would have taken that.
But we didn't have ""Myth"" Romney. We had Mitt Romney, and he did the Democrats a favor, not the state. After four consecutive Republican elections when Mitt Romney ran for re-election — when his term was up he was afraid to run for re-election. He gallantly let his lieutenant governor take the fall and the Republicans haven't won any major elections in statewide office since — — for state office.
Well, if we didn't get that job experience and we can't look to the past to be reassured, let's look to the future. What will any Romney — and you know, there're a lot of Romneys. There's the Romney who was going to be better on gay rights than Ted Kennedy. Now there's the Romney who checks with Rick Santroum on that issue. There was the Romney who was for climate change and now there's the Romney who believes that it's a myth, to coin a phrase.
But what — let's look at what we have from the Mitt Romney who's running for president. He has now basically committed himself to repeat every failed and mistaken policy that the Republican Party employed to bring our country into the greatest recession in years, and which they have followed to try to retard its recovery.
And there's a reason for it. For all of the talk about how Mitt Romney understands the private sector — and that clearly is a little bit iffy — he has no understanding whatsoever of the public sector.
Of course we want a private sector that is prosperous, that creates jobs. This hall is full of people I know who have been successful in the private sector, and do that, and are entrepreneurs and businesspeople. 
But sensible people also know with a civilized society, you need a public sector to do those things that the private sector isn't meant to do, to deal with the quality of life. There are things that a civilized society needs that we can only do if we do them together. And we do them together, that's called government. So that's why Mitt — — that's why Mitt Romney opposed, opposed the successful effort to keep the automobile industry going, because he failed to see the importance of a private sector-public sector cooperation. That's why he belittled President Obama's concern for fired and laid-off public employees and the services they provide, when he said, oh, he just wants more teachers and firefighters and cops. Because we have had millions of private sector jobs created, but our unemployment has been higher than it should be, in part because hundreds and hundreds of thousands of hard-working public employees have been let go by Republican policies.
And then finally — — finally, there is the sector on which I've worked hardest, the financial sector. The single biggest cause of our economic collapse was the failure of the Republican right wing — unfortunately, some Democrats joined in — to allow the public sector appropriately to regulate the private sector.
I want a strong financial community. But I don't want subprime loans being given to people who can't pay them back. I don't want derivatives being engaged in by companies that can't back up when they get in trouble like AIG. I want an independent consumer engine that will protect the individual saver and borrower from abuse. I don't want municipalities to be advised by unscrupulous people who get them into trouble and they lose money.
We began in 2009 to put in place a set of rules to prevent the kind of abuse that led to the economic disaster. ""Myth"" Romney — and for all I know, Mitt Romney — opposes all of that. He has called for the repeal of financial reform, for allowing an unregulated financial community to go back to where they were. Every mistake the Republicans made to bring us into trouble, to resist our getting out of trouble and to keep us from getting into trouble again, Mitt Romney supports.
And he reminds of an important historical statement. When the kings of France came back into power after the French Revolution, brought back by the excesses of that revolution, they began to make all the same mistakes they'd made before. And someone said, they appear to have forgotten everything. And someone said, no, they couldn't forget anything, because they never learned anything.
The current right-wing, tea party-dominated Republican not only hasn't learned from the mistakes of the past; they are determined to repeat them. We will not let that happen. Thank you. "
democrat,HARVEY GANTT,"Good evening, fellow Democrats.Since we were together in 2008, we have lost some of our leaders and our friends. First, one of Charlotte's own, Susan Burgess. She fought for what she believed in, and she fought her own battle with cancer.
Sadly, she did not get the chance to see this convention convene. But I know she'd be very proud, and she is tonight with us in spirit. 
This brief film will highlight many other leaders who have passed in the last four years. Their work and their ideals inspire us every day. Tonight we salute their contributions."
democrat,DONNA EDWARDS,"Hello, Maryland. 
Now, I come from a military family — six kids. My dad served three decades in the Air Force. My mom was right behind him and us. So the president and first lady's commitment to our service people, to our veterans and their families, it's personal to me. Let me tell you about my American story.
Growing up on military bases I learned like most families that they were just like mine, no matter what their background.
I went to a lot of different schools and many different places. I had great teachers who loved learning and great parents who made me do my homework.
I'm a first-generation graduate of Wake Forest University. 
Now look. After graduating college, I struggled, I struggled as a single mom. I had a toddler. I was working every day just to pay the bills. But I didn't have health insurance. And then days after days with what I thought was a cold, I ended up in an emergency room with pneumonia. The hospital bills were overwhelming. And as a result, I almost lost my home to foreclosure. On many days I found myself at a local food bank.
I'll tell you, I support President Barack Obama because he gets it. He knows that no one, no one should end up in an emergency room facing financial ruin and the loss of middle-class life, my middle- class life, just because they can't afford a doctor's visit and a $20 batch of antibiotics.
And so President Obama changed that. We know he changed that. He changed that with the Affordable Care Act. 
So here's the bottom line. We've got a lot of challenges ahead of us — tremendous challenges ahead of us. But President Obama is solving them in a way that protects and helps families like mine. And that's why I'm fighting for him, just like he's been fighting for us. Are you ready to fight for him? "
democrat,CAROL BERMAN,"I am so proud to be at the Democratic National Convention from Florida. 
I'm one of the seniors who retired to this piece of heaven on earth, and I'm as happy as a clam. But it's not just the sunshine; it's ""Obamacare."" I'm getting preventive care for free and my prescription drugs for less.
But the Romney-Ryan plan has me terrified, not just for me but for my three married daughters, who are in their 50s. If Mitt Romney gets into office, the Medicare that they've earned will return into ""Vouchercare."" Seniors will get a voucher to purchase health insurance, but the vouchers won't keep up with the cost, which could push people into private insurance plans, and even though many seniors who are on fixed incomes would have to pay up to an additional $6,400 more a year for out-of-pocket costs. And on top of that, he's threatened to repeal ""Obamacare"" on day one.
Thousands of dollars might be pocket change to Mitt Romney, but it's a lot of money in my family. 
We have worked for our Medicare, we have paid for our Medicare and we have earned our Medicare. 
I'm proud to have been born the same year that Social Security was. It was the most important law of my lifetime. And Medicare was pretty great, too. But now we have ""Obamacare,"" which preserves the promise of Medicare and a secure retirement. So like I tell my daughters, let's vote like our lives depend on it, because they do. "
democrat,JAMES ROGERS,"Let me start by welcoming you to Charlotte and to North Carolina. 
It's been my honor to serve with Mayor Anthony Foxx as co-chair of the Charlotte Host Committee. I want to thank all of the people and local businesses who have worked tirelessly to make this a wonderful convention so far. And we haven't even got to the main event.
Now, I'm not here tonight as a Democrat or a Republican, a policy pundit or an energy CEO. I'm here simply as a grandfather. I have eight grandkids, and my oldest grandson, Alex, is here with me today. Many of you have children and grandchildren. And we want to do all we can for their happiness, their health and for their future. We want to pass what I call the grandchildren's test.
That is, decades from now when our grandchildren look back at the decisions we made as a country, will they think that we did the right thing? We want their answer to be yes. 
One way we can make this world a better place for our grandkids is to lay the groundwork for a cleaner, more sustainable future. Among other things, that means taking a long-term approach toward energy policy because these decisions should not be made in four-year election cycles. That's why an all-of-the-above energy strategy is a good place to start.
But we must be more innovative. We need to work even harder toward a future of affordable, reliable and even cleaner energy. That means we need to invest heavily in new zero-emissions power sources like new nuclear, wind and solar projects as well as new technologies like electric vehicles. And we cannot lose sight of energy efficiency, because the cleanest, most efficient power plant is the one we never have to build. 
Here in Charlotte, we're committed to energy efficiency and a more sustainable future. One of our first steps is to reduce our energy use by 20 percent in Charlotte's central business district.
And we're thinking beyond energy. We're also increasing water conservation, reducing waste and improving our air. This is all part of a model that can be reproduced in cities across the country and even around the world because energy is more than a partisan issue, it's an American issue and a global issue.
I know that we, the American people, have the ability to lead the world, to meet today's energy challenges, to cross the bridge to a cleaner, more secure world and, most importantly, to leave our grandchildren with a place where they can thrive. Thank y'all very much. Thank you for coming to Charlotte. "
democrat,KAY HAGAN,"It is my honor to welcome everyone to North Carolina. North Carolina is strong because our people are strong. They define our state by their hard work, commitment to their families and neighbors, their willingness to sacrifice so that their children can have a chance to forge their own path.
I've seen those values in every corner of our state — from our small towns to our big cities, from the beaches to the mountains, from our farms and mills to clean energy and advanced biotech companies. We call North Carolina the place where the weak grow strong and the strong grow great. We've always prided ourselves on the fact that anyone, no matter who they are or where they are from, can work hard to make whatever they want of their life.
But we didn't get there by accident. We got there because we were blessed with leaders from all walks of life who were willing to do what was right, make difficult not easy choices and invest in our future generations. We got there because a group of civic leaders had the vision to look over thousands of acres of empty land and see the potential for the Research Triangle Park, which today is a hub of innovation and job creation that employs thousands of people.
We got there because four young men were brave enough to sit down at a lunch counter in Greensboro in 1960. A lunch counter where they were not welcome simply because of the color of their skin. We got there because those young men sparked a movement that demanded equal opportunity for every one of our state's citizens.
We got there because in 1795, North Carolina opened the first public university in the United States, which grew into the best public university system in the country — — educating a workforce that fuels our economy.
Our country needs that same forward-looking leadership now more than ever. The solutions of yesterday won't get us where we need to go. We can't get there by slashing education or cutting back on research and development. That's what the other side wants to do, but they've tried every one of their proposals before, and they've left us with a shrinking middle class and the biggest economic crisis since the Great Depression.
President Obama has a different plan. And you can find the whole thing online at barackobama.com/plan. And when you go there, you'll see a plan to keep building an economy that grows from the middle out, not the top down. That's what we need. That's how we'll keep moving forward together.
The eyes of the nation are on North Carolina tonight. And that's fitting because the same values that made North Carolina great — hard work, community, commitment to a vibrant middle class — are the values that are going to keep our country on the right track for generations to come.
And I know that the energy that we see here tonight is going to carry us on through November and carry us to a better and brighter future.
God bless North Carolina, and God bless the United States. "
democrat,DAVID PRICE,"Hello. I'm David Price, and I represent North Carolina's Research Triangle area in Congress. 
We're going to protect these achievements. And we're going to move the country in just one direction: forward. We're Democrats, and we believe in all the American people, not just the wealthy few.
We believe in supporting the middle class, not selling them out. We believe in President Barack Obama. Thank you and let's get to work. "
democrat,MEL WATT,"Let me start by welcoming you to the 12th Congressional District of North Carolina and to Charlotte, the little country town that I was born and raised in and that grew up with me as the big, great city that has hosted you this week. 
Growing up, I learned from my mama and my neighbors and my church members a certain set of values: Respect your elders; help your neighbors; honor your commitments; stand up for education. Today, Barack Obama is carrying those exact same values forward as president of the United States. 
This election is about standing up for those values. It's about fighting for what you believe in. So let's get out there. Call your friends, knock on doors. Let's re-elect Barack Obama. Have a great convention. "
